"Seq1.bam"	"Seq2.bam"	"Seq3.bam"	"Seq4.bam"	"Seq5.bam"	"Seq6.bam"
"BQ2027_MB0116"	227	251	256	130	110	151
"BQ2027_MB0117"	299	362	349	183	130	149
"BQ2027_MB0118"	87	117	141	72	65	92
"BQ2027_MB0119"	166	122	193	95	119	109
"BQ2027_MB0120c"	1729	1722	1793	1818	1407	1767
"BQ2027_MB0121"	103	142	128	56	41	51
"BQ2027_MB0122c"	235	207	282	172	82	121
"BQ2027_MB0123"	209	151	257	125	85	101
"BQ2027_MB0124c"	304	336	383	285	287	342
"BQ2027_MB0125c"	247	228	246	129	129	123
"BQ2027_MB0126c"	129	141	137	176	112	169
"BQ2027_MB0127"	466	451	429	466	294	395
"BQ2027_MB0128"	316	318	342	321	254	359
"BQ2027_MB0129"	236	211	428	1321	980	1113
"BQ2027_MB0130"	3378	2787	3594	4142	3193	3737
"BQ2027_MB0131"	975	993	1050	933	774	1031
"BQ2027_MB0132"	565	619	627	641	519	645
"BQ2027_MB0133"	391	390	455	217	210	217
"BQ2027_MB0134c"	3881	2935	3905	4502	3295	4640
"BQ2027_MB0135"	146	173	183	116	43	81
"BQ2027_MB0136c"	736	704	716	579	409	563
"BQ2027_MB0137c"	253	288	338	223	176	174
"BQ2027_MB0138"	397	399	431	304	281	290
"BQ2027_MB0139-1"	193	207	201	182	132	165
"BQ2027_MB0139-2"	54	58	82	60	50	50
"BQ2027_MB0139-3"	128	138	168	118	91	120
"BQ2027_MB0139-4"	39	29	52	21	13	22
"BQ2027_MB0140c"	366	375	438	287	231	252
"BQ2027_MB0141"	296	282	366	198	129	146
"BQ2027_MB0142c"	523	585	564	563	437	481
"BQ2027_MB0143"	163	169	171	123	132	115
"BQ2027_MB0144"	303	302	383	372	303	386
"BQ2027_MB0145"	3726	4186	4265	1132	1084	1107
"BQ2027_MB0146c"	955	1178	1212	510	408	400
"BQ2027_MB0147"	569	537	887	261	183	177
"BQ2027_MB0148c"	1202	1143	1378	691	505	639
"BQ2027_MB0149"	964	1001	969	879	645	929
"BQ2027_MB0150"	2355	2271	2665	1552	1355	1841
"BQ2027_MB0151"	1001	861	1122	845	647	866
"BQ2027_MB0152"	2137	2142	2260	2564	1809	2265
"BQ2027_MB0153"	1444	1214	1351	1487	1148	1501
"BQ2027_MB0154"	459	432	479	549	423	598
"BQ2027_MB0155c"	195	165	265	205	209	225
"BQ2027_MB0156c"	680	666	778	4065	3083	4330
"BQ2027_MB0157c"	225	275	268	163	126	182
"BQ2027_MB0158c"	530	436	486	461	317	383
"BQ2027_MB0159c"	910	733	991	748	585	793
"BQ2027_MB0160"	485	445	510	346	256	293
"BQ2027_MB0161"	405	447	422	190	142	210
"BQ2027_MB0162"	1261	1196	1332	1078	786	986
"BQ2027_MB0162A"	270	284	256	153	130	133
"BQ2027_MB0163"	277	330	355	367	284	412
"BQ2027_MB0164c"	465	467	575	900	699	936
"BQ2027_MB0165c"	184	168	208	682	528	783
"BQ2027_MB0166"	159	145	197	93	56	77
"BQ2027_MB0167c"	487	456	670	536	365	441
"BQ2027_MB0168"	86	83	92	63	72	55
"BQ2027_MB0169"	1721	2185	1668	943	773	842
"BQ2027_MB0170c"	823	871	840	833	746	855
"BQ2027_MB0172"	999	985	1074	1037	916	1099
"BQ2027_MB0173"	1031	931	1091	855	684	795
"BQ2027_MB0174"	443	393	444	448	347	399
"BQ2027_MB0175"	1285	1200	1293	1295	1054	1433
"BQ2027_MB0176"	710	587	659	646	558	822
"BQ2027_MB0177"	1298	1088	1615	1450	1094	1388
"BQ2027_MB0178"	1144	957	1251	1557	1308	1632
"BQ2027_MB0179"	769	647	821	1014	833	1076
"BQ2027_MB0180"	2464	2269	2657	3870	3083	4308
"BQ2027_MB0181"	1090	979	1305	1333	1135	1369
"BQ2027_MB0182"	428	398	509	652	603	743
"BQ2027_MB0183"	387	354	413	645	565	652
"BQ2027_MB0184"	1086	939	1122	1348	1080	1488
"BQ2027_MB0185c"	1152	1204	1123	1386	1212	1400
"BQ2027_MB0186c"	1253	1237	1371	687	542	689
"BQ2027_MB0187c"	428	438	445	367	284	382
"BQ2027_MB0188c"	1341	1317	1357	827	656	686
"BQ2027_MB0189"	904	881	1006	797	618	719
"BQ2027_MB0190"	2401	1798	2598	947	688	773
"BQ2027_MB0191"	738	533	836	397	253	330
"BQ2027_MB0192"	8399	7086	9765	4301	3261	3299
"BQ2027_MB0192A"	8202	7363	9629	5280	4016	3660
"BQ2027_MB0193"	474	434	510	465	353	359
"BQ2027_MB0194"	3617	3577	4166	10513	6990	10497
"BQ2027_MB0195c"	1987	1883	2342	2982	2223	2589
"BQ2027_MB0196"	1391	1468	1483	1201	832	1113
"BQ2027_MB0197"	538	454	738	643	430	453
"BQ2027_MB0198"	1316	1285	1683	1887	1531	1706
"BQ2027_MB0199c"	375	426	453	325	188	305
"BQ2027_MB0200"	560	517	637	253	190	209
"BQ2027_MB0201"	205	234	277	219	138	267
"BQ2027_MB0202"	73	48	101	82	46	104
"BQ2027_MB0203"	432	372	488	314	208	303
"BQ2027_MB0204c"	2748	2665	3376	1795	1420	1736
"BQ2027_MB0205"	354	355	445	259	211	241
"BQ2027_MB0206"	515	442	564	360	294	315
"BQ2027_MB0207c"	690	584	864	566	456	499
"BQ2027_MB0208c"	3234	2842	3638	3421	2488	2740
"BQ2027_MB0209"	1247	961	1237	651	523	583
"BQ2027_MB0210c"	639	514	673	769	500	613
"BQ2027_MB0211"	257	278	274	571	488	663
"BQ2027_MB0212c"	4742	4090	5320	8652	6693	8811
"BQ2027_MB0213c"	1306	1340	1521	1620	1311	1610
"BQ2027_MB0214c"	421	341	465	827	739	995
"BQ2027_MB0215"	243	240	290	298	174	221
"BQ2027_MB0216"	228	193	207	145	112	161
"BQ2027_MB0217"	7008	6307	7313	6649	4794	6753
"BQ2027_MB0218c"	1100	1134	1303	976	772	914
"BQ2027_MB0219c"	984	1014	1112	1648	1326	1912
"BQ2027_MB0220"	520	481	547	391	276	347
"BQ2027_MB0221c"	738	821	762	1475	1248	1684
"BQ2027_MB0222"	4949	4604	5394	2362	2032	2092
"BQ2027_MB0223c"	804	670	873	438	364	438
"BQ2027_MB0224"	401	392	520	410	339	416
"BQ2027_MB0225"	64	71	111	107	80	78
"BQ2027_MB0226"	2837	2433	2933	3351	2554	3382
"BQ2027_MB0227"	3215	3418	3499	5031	3704	4908
"BQ2027_MB0228c"	739	614	782	463	436	522
"BQ2027_MB0229c"	487	559	745	619	437	657
"BQ2027_MB0230"	333	309	362	425	319	403
"BQ2027_MB0231c"	238	215	259	313	224	220
"BQ2027_MB0232c"	2207	1791	2219	1575	1304	1429
"BQ2027_MB0233"	330	335	397	458	390	424
"BQ2027_MB0234c"	470	646	554	664	524	700
"BQ2027_MB0235c"	699	663	738	479	393	478
"BQ2027_MB0236"	873	674	787	656	574	622
"BQ2027_MB0237"	1626	1783	1885	3494	2635	3571
"BQ2027_MB0238"	1384	1392	1682	1845	1426	1840
"BQ2027_MB0239c"	880	804	947	969	660	893
"BQ2027_MB0240c"	386	413	447	538	371	523
"BQ2027_MB0241c"	1911	1691	2325	1967	1577	1579
"BQ2027_MB0242c"	504	561	490	302	274	314
"BQ2027_MB0243"	579	512	670	503	368	444
"BQ2027_MB0244"	772	835	791	1448	1168	1652
"BQ2027_MB0245"	892	1024	955	1217	917	1138
"BQ2027_MB0246"	318	284	333	297	200	291
"BQ2027_MB0247c"	884	756	945	1024	671	888
"BQ2027_MB0248c"	1255	1087	1565	1337	1191	1233
"BQ2027_MB0249"	2291	1974	2887	3413	2402	2800
"BQ2027_MB0250c"	6069	5742	7151	7251	5236	7542
"BQ2027_MB0251"	447	483	453	452	275	376
"BQ2027_MB0252"	1025	1072	1056	1100	1006	1445
"BQ2027_MB0253c"	1832	1856	1684	1391	1092	1724
"BQ2027_MB0254c"	6367	6149	6889	5170	4328	5935
"BQ2027_MB0255c"	2556	2659	2457	1567	1200	1620
"BQ2027_MB0256c"	1793	1646	1693	1501	1195	1492
"BQ2027_MB0257c"	1344	1291	1577	2093	1446	1888
"BQ2027_MB0258"	1675	1784	1814	1045	949	920
"BQ2027_MB0259"	67	95	120	82	72	91
"BQ2027_MB0260c"	72	66	94	67	40	32
"BQ2027_MB0261c"	260	207	301	322	191	231
"BQ2027_MB0262c"	1057	846	1320	1014	759	772
"BQ2027_MB0263"	538	561	528	389	259	348
"BQ2027_MB0264c"	167	148	171	152	101	118
"BQ2027_MB0265c"	158	180	190	120	134	150
"BQ2027_MB0266c"	252	278	273	219	148	168
"BQ2027_MB0267c"	150	182	170	148	148	159
"BQ2027_MB0268c"	279	204	269	833	635	669
"BQ2027_MB0269c"	791	603	789	3801	2867	3720
"BQ2027_MB0270c"	536	464	645	2123	1656	2048
"BQ2027_MB0271c"	380	349	443	418	349	458
"BQ2027_MB0272c"	1142	1002	1351	780	512	652
"BQ2027_MB0273"	1651	1362	1807	719	744	732
"BQ2027_MB0274c"	1511	1721	1769	796	754	847
"BQ2027_MB0275c"	258	263	312	236	192	194
"BQ2027_MB0276"	2249	1920	2333	3045	2467	2911
"BQ2027_MB0277c"	3159	3077	3268	2695	2076	2598
"BQ2027_MB0278c"	542	542	590	506	396	556
"BQ2027_MB0279c"	144	151	178	121	86	98
"BQ2027_MB0280"	648	720	771	587	481	630
"BQ2027_MB0281c"	342	385	460	299	172	185
"BQ2027_MB0282"	433	385	502	283	179	192
"BQ2027_MB0283c"	3029	3097	3374	3295	2640	3562
"BQ2027_MB0284c"	11	11	15	20	30	27
"BQ2027_MB0285c"	302	185	494	2463	1636	1775
"BQ2027_MB0286c"	282	148	406	1456	1002	1156
"BQ2027_MB0287c"	492	419	753	1597	941	1285
"BQ2027_MB0288"	329	293	425	309	168	328
"BQ2027_MB0289"	1397	1345	1406	1458	1062	1444
"BQ2027_MB0290"	3640	3419	3627	5212	3894	5062
"BQ2027_MB0291"	973	852	1162	2136	1619	1978
"BQ2027_MB0292"	2223	2127	2404	4550	3574	4946
"BQ2027_MB0293"	204	176	272	427	317	396
"BQ2027_MB0294"	830	629	959	1494	1168	1268
"BQ2027_MB0295"	1411	862	1461	1611	1141	1765
"BQ2027_MB0296"	1742	1397	1880	2453	1600	2291
"BQ2027_MB0297"	657	387	727	1195	870	1014
"BQ2027_MB0298"	463	276	586	998	722	714
"BQ2027_MB0299"	795	598	940	1408	1055	1120
"BQ2027_MB0300"	432	414	487	928	735	864
"BQ2027_MB0301c"	1050	1087	1186	3240	2431	3075
"BQ2027_MB0302"	135	133	161	273	199	247
"BQ2027_MB0303c"	337	373	367	423	305	415
"BQ2027_MB0304c"	724	658	682	513	380	461
"BQ2027_MB0305"	1724	1397	2730	1657	1032	905
"BQ2027_MB0306"	5387	5965	5464	6880	5245	6350
"BQ2027_MB0307"	1689	1832	1822	2060	1629	1986
"BQ2027_MB0308"	505	396	474	486	389	482
"BQ2027_MB0309"	766	729	880	921	753	943
"BQ2027_MB0310"	1014	884	1114	962	737	794
"BQ2027_MB0311"	619	537	706	455	385	463
"BQ2027_MB0312c"	318	311	411	248	173	206
"BQ2027_MB0313c"	1196	1297	1423	810	640	777
"BQ2027_MB0314"	225	189	227	175	142	202
"BQ2027_MB0315c"	268	242	270	219	143	177
"BQ2027_MB0316"	946	1034	920	572	420	494
"BQ2027_MB0317"	1277	1203	1268	614	469	551
"BQ2027_MB0318c"	168	165	193	85	77	91
"BQ2027_MB0319"	393	427	391	416	321	344
"BQ2027_MB0320"	497	496	531	481	332	380
"BQ2027_MB0321"	5074	5430	5245	7515	5800	6531
"BQ2027_MB0322c"	2559	2663	3114	3026	2109	2401
"BQ2027_MB0323"	1476	1174	1688	1101	790	907
"BQ2027_MB0324"	502	410	685	573	429	424
"BQ2027_MB0325c"	596	694	699	632	526	645
"BQ2027_MB0326c"	139	121	174	119	70	77
"BQ2027_MB0327"	129	119	140	147	109	122
"BQ2027_MB0328"	143	169	174	150	112	173
"BQ2027_MB0329"	409	416	391	353	252	374
"BQ2027_MB0330"	151	157	180	103	62	108
"BQ2027_MB0331c"	340	369	434	291	179	250
"BQ2027_MB0332"	503	551	702	330	222	356
"BQ2027_MB0333"	134	129	168	128	63	96
"BQ2027_MB0334c"	375	364	465	196	147	159
"BQ2027_MB0335"	358	387	472	678	374	569
"BQ2027_MB0336c"	235	240	320	228	168	180
"BQ2027_MB0337c"	212	199	254	111	85	97
"BQ2027_MB0338"	1395	1247	2039	204	159	162
"BQ2027_MB0339"	799	631	895	537	393	445
"BQ2027_MB0340"	291	274	298	218	160	204
"BQ2027_MB0341"	381	367	396	371	292	409
"BQ2027_MB0342c"	237	199	270	151	120	169
"BQ2027_MB0343"	1988	1680	3051	1445	950	1038
"BQ2027_MB0344c"	1300	1276	1486	1428	1158	1440
"BQ2027_MB0345c"	3706	3516	4088	3640	2952	3645
"BQ2027_MB0346c"	657	603	775	737	487	567
"BQ2027_MB0347"	443	412	438	280	214	254
"BQ2027_MB0348"	1056	694	1302	3194	2018	2332
"BQ2027_MB0349"	535	466	610	1022	760	996
"BQ2027_MB0350"	602	532	636	504	434	507
"BQ2027_MB0351c"	136	123	156	83	79	88
"BQ2027_MB0353"	95	129	109	116	72	96
"BQ2027_MB0354c"	1295	1135	1250	1108	907	1208
"BQ2027_MB0355"	912	912	1158	473	418	567
"BQ2027_MB0356"	639	724	706	292	241	290
"BQ2027_MB0357"	367	386	415	197	166	182
"BQ2027_MB0358"	27266	24376	29414	13197	11235	12398
"BQ2027_MB0359"	2005	1416	2415	1431	1292	1266
"BQ2027_MB0360"	4538	3553	5083	4703	3384	3647
"BQ2027_MB0361"	687	661	819	664	606	671
"BQ2027_MB0362c"	2698	2754	3229	3844	3155	4113
"BQ2027_MB0363c"	257	300	295	213	164	196
"BQ2027_MB0364c"	472	374	490	319	218	279
"BQ2027_MB0365"	124	111	167	90	47	78
"BQ2027_MB0366"	252	204	274	136	127	154
"BQ2027_MB0367c"	167	125	171	113	92	107
"BQ2027_MB0368"	1210	1034	1141	1763	1525	2154
"BQ2027_MB0369"	590	503	659	615	471	682
"BQ2027_MB0370c"	1939	1845	1850	1816	1330	1876
"BQ2027_MB0371"	968	900	859	832	615	853
"BQ2027_MB0372c"	611	552	707	471	306	421
"BQ2027_MB0373c"	494	421	599	170	140	171
"BQ2027_MB0374c"	1490	1523	1825	651	472	553
"BQ2027_MB0375c"	117	103	160	73	37	45
"BQ2027_MB0376c"	156	174	218	121	78	140
"BQ2027_MB0377c"	130	137	157	53	29	44
"BQ2027_MB0378c"	40	21	42	11	19	22
"BQ2027_MB0379c"	66	55	65	45	33	45
"BQ2027_MB0380c"	386	358	427	366	311	367
"BQ2027_MB0381c"	89	83	98	101	68	87
"BQ2027_MB0382c"	118	93	134	101	73	73
"BQ2027_MB0383c"	262	194	297	282	178	230
"BQ2027_MB0384"	442	409	528	270	186	181
"BQ2027_MB0385"	90	77	77	29	22	23
"BQ2027_MB0386"	428	460	402	190	124	161
"BQ2027_MB0387c"	512	575	660	306	245	317
"BQ2027_MB0388c"	964	829	1035	693	478	598
"BQ2027_MB0389c"	743	619	907	493	368	456
"BQ2027_MB0390c"	2520	1996	3035	2576	2084	2365
"BQ2027_MB0391c"	11425	10546	15671	3021	2312	2541
"BQ2027_MB0392"	290	273	380	242	156	173
"BQ2027_MB0393"	1186	1152	1478	843	675	772
"BQ2027_MB0394c"	650	605	803	2508	1952	2326
"BQ2027_MB0395"	304	273	341	334	227	254
"BQ2027_MB0396"	371	348	358	368	320	374
"BQ2027_MB0397"	478	379	517	426	337	436
"BQ2027_MB0398c"	956	1014	958	1015	822	1059
"BQ2027_MB0399"	199	145	240	195	159	172
"BQ2027_MB0400c"	270	291	351	220	180	208
"BQ2027_MB0401"	24	21	16	6	9	5
"BQ2027_MB0402"	17	20	20	21	10	20
"BQ2027_MB0403"	47	55	59	48	29	37
"BQ2027_MB0403A"	757	845	880	455	355	450
"BQ2027_MB0404c"	685	643	817	431	387	385
"BQ2027_MB0405c"	375	309	405	258	250	236
"BQ2027_MB0406c"	496	482	659	725	551	632
"BQ2027_MB0407"	86	70	80	64	70	68
"BQ2027_MB0408c"	223	255	252	426	293	391
"BQ2027_MB0409c"	348	424	382	496	350	486
"BQ2027_MB0410c"	145	141	128	369	273	408
"BQ2027_MB0411"	858	901	924	1476	1153	1714
"BQ2027_MB0412"	274	269	210	898	741	1044
"BQ2027_MB0413"	360	376	438	1467	1074	1472
"BQ2027_MB0414c"	234	224	249	357	311	435
"BQ2027_MB0415"	843	738	880	837	691	805
"BQ2027_MB0416"	646	589	615	901	722	953
"BQ2027_MB0417"	271	264	283	490	380	466
"BQ2027_MB0418c"	1637	1504	1854	1624	1170	1565
"BQ2027_MB0419c"	968	901	1049	765	622	669
"BQ2027_MB0420c"	1927	1975	2140	1824	1307	1801
"BQ2027_MB0421"	727	532	842	777	593	701
"BQ2027_MB0422c"	218	217	275	184	138	129
"BQ2027_MB0423"	322	326	428	343	231	294
"BQ2027_MB0424"	6	10	16	19	8	15
"BQ2027_MB0425"	195	151	168	161	117	109
"BQ2027_MB0426"	916	933	957	660	527	608
"BQ2027_MB0427"	2357	2339	2602	2602	2055	2484
"BQ2027_MB0428c"	413	497	568	299	257	292
"BQ2027_MB0429c"	154	122	187	255	151	190
"BQ2027_MB0430c"	394	437	451	632	501	524
"BQ2027_MB0431c"	3209	2928	3079	3444	2659	3111
"BQ2027_MB0432c"	457	470	487	481	402	493
"BQ2027_MB0433c"	2898	2725	3295	3787	2843	3137
"BQ2027_MB0434c"	1447	1311	1402	1119	910	1053
"BQ2027_MB0435c"	577	599	629	258	238	274
"BQ2027_MB0436c"	198	165	201	124	88	98
"BQ2027_MB0437c"	454	329	389	141	148	179
"BQ2027_MB0438"	1407	1446	1292	609	543	627
"BQ2027_MB0439"	585	546	575	444	369	417
"BQ2027_MB0440"	1447	1166	1502	1059	933	1057
"BQ2027_MB0441"	1265	1145	1178	1353	1195	1425
"BQ2027_MB0442"	454	456	492	742	651	691
"BQ2027_MB0443c"	802	681	865	915	774	900
"BQ2027_MB0444c"	454	420	565	381	291	387
"BQ2027_MB0445c"	356	332	522	292	276	275
"BQ2027_MB0446c"	600	597	697	481	383	350
"BQ2027_MB0447c"	813	730	821	306	307	360
"BQ2027_MB0448"	63212	46220	78083	33595	26768	33179
"BQ2027_MB0449c"	1674	1539	1926	1444	1001	1146
