"Seq1.bam"	"Seq2.bam"	"Seq3.bam"	"Seq4.bam"	"Seq5.bam"	"Seq6.bam"
"BQ2027_MB0501"	916	1045	1236	1292	1078	1310
"BQ2027_MB0502c"	893	830	1191	973	732	837
"BQ2027_MB0503c"	51	47	59	18	26	32
"BQ2027_MB0504c"	338	247	375	260	175	216
"BQ2027_MB0505"	180	223	260	173	144	153
"BQ2027_MB0506c"	1799	1509	1677	1483	1332	1543
"BQ2027_MB0507"	1256	1147	1325	809	650	791
"BQ2027_MB0508"	798	674	837	501	457	516
"BQ2027_MB0509"	248	213	235	223	178	171
"BQ2027_MB0510"	94	144	176	128	90	148
"BQ2027_MB0511"	579	517	554	541	491	605
"BQ2027_MB0512"	684	782	694	508	403	455
"BQ2027_MB0512A"	1428	1587	1193	725	559	667
"BQ2027_MB0513"	3986	4446	4097	3843	3363	3476
"BQ2027_MB0514"	3815	4442	4403	3567	3235	3427
"BQ2027_MB0515c"	1471	1446	1415	913	837	951
"BQ2027_MB0516c"	438	460	503	305	242	279
"BQ2027_MB0517c"	1632	1291	1773	1143	920	1107
"BQ2027_MB0518"	408	366	421	506	402	494
"BQ2027_MB0519"	745	852	838	1070	844	1067
"BQ2027_MB0520"	140	166	144	135	134	147
"BQ2027_MB0521"	1863	1786	2169	2534	1780	2205
"BQ2027_MB0523"	813	780	981	1746	1456	1611
"BQ2027_MB0524"	1947	1612	2269	3476	2714	3049
"BQ2027_MB0525"	544	429	585	1514	1257	1462
"BQ2027_MB0526"	329	278	400	796	660	883
"BQ2027_MB0527"	75	58	89	173	149	155
"BQ2027_MB0528"	2162	1767	3148	1497	1080	1143
"BQ2027_MB0529c"	1238	1316	1385	752	618	685
"BQ2027_MB0530"	726	766	935	589	466	522
"BQ2027_MB0531"	787	912	899	7769	5629	7272
"BQ2027_MB0532c"	566	437	510	437	448	483
"BQ2027_MB0533"	18	22	28	102	70	146
"BQ2027_MB0534"	23	30	49	45	40	59
"BQ2027_MB0535"	540	633	587	617	477	575
"BQ2027_MB0536c"	156	166	179	100	99	141
"BQ2027_MB0537"	2133	1835	2232	2519	2058	2422
"BQ2027_MB0538"	366	297	418	545	391	463
"BQ2027_MB0539"	359	295	433	623	503	601
"BQ2027_MB0540"	146	111	154	302	261	276
"BQ2027_MB0541"	486	434	624	997	804	966
"BQ2027_MB0542"	627	604	686	915	778	877
"BQ2027_MB0543"	2157	1757	2372	2289	1548	1721
"BQ2027_MB0543A"	205	177	183	162	108	169
"BQ2027_MB0544"	192	168	175	162	134	143
"BQ2027_MB0545"	125	93	197	245	172	162
"BQ2027_MB0546"	9	6	6	9	6	8
"BQ2027_MB0547c"	478	454	462	383	257	361
"BQ2027_MB0548c"	232	206	248	137	74	113
"BQ2027_MB0549"	151	148	189	156	111	108
"BQ2027_MB0550"	174	155	232	229	157	167
"BQ2027_MB0551c"	884	952	1094	848	636	671
"BQ2027_MB0552"	1861	1543	2317	2339	1582	1843
"BQ2027_MB0553"	2696	2261	3005	2072	1279	1384
"BQ2027_MB0554"	86	70	112	131	97	105
"BQ2027_MB0555c"	193	205	234	424	304	386
"BQ2027_MB0556c"	327	392	472	781	620	674
"BQ2027_MB0557c"	947	1044	1006	1096	906	1074
"BQ2027_MB0558c"	150	131	206	165	117	147
"BQ2027_MB0559c"	2356	2186	2674	2917	2306	2763
"BQ2027_MB0560c"	256	291	295	178	174	191
"BQ2027_MB0561c"	624	551	620	407	295	304
"BQ2027_MB0562c"	1582	1532	1764	1766	1100	1260
"BQ2027_MB0563c"	678	618	615	929	626	817
"BQ2027_MB0564c"	1296	1300	1206	1973	1230	1517
"BQ2027_MB0565c"	1030	1035	1045	1263	874	933
"BQ2027_MB0566c"	599	627	689	433	339	376
"BQ2027_MB0567"	368	329	389	370	288	360
"BQ2027_MB0568"	136	126	141	164	94	114
"BQ2027_MB0569"	560	526	602	324	235	278
"BQ2027_MB0570"	833	657	952	1177	917	957
"BQ2027_MB0571"	232	258	290	413	286	418
"BQ2027_MB0572"	225	215	259	371	248	362
"BQ2027_MB0573"	1013	978	1074	1052	784	857
"BQ2027_MB0574c"	1543	1566	1478	1851	1461	1626
"BQ2027_MB0575c"	311	275	395	513	328	362
"BQ2027_MB0576c"	215	250	252	241	174	228
"BQ2027_MB0577"	1187	1178	1105	1632	1224	1570
"BQ2027_MB0578"	1802	1802	1853	2372	1750	2150
"BQ2027_MB0579c"	1110	1065	1256	1010	626	827
"BQ2027_MB0580c"	378	409	456	311	227	293
"BQ2027_MB0581c"	153	136	169	87	62	107
"BQ2027_MB0582"	1130	1106	1129	595	437	561
"BQ2027_MB0583"	1221	1137	1505	1575	1113	1335
"BQ2027_MB0584"	4181	3652	4396	2664	2142	2371
"BQ2027_MB0585"	3297	3418	3885	1784	1541	1501
"BQ2027_MB0586c"	1440	1554	1748	780	719	803
"BQ2027_MB0587c"	2827	3001	3054	791	819	960
"BQ2027_MB0587CA"	1834	1984	1934	657	621	692
"BQ2027_MB0588c"	270	353	435	219	185	194
"BQ2027_MB0589c"	535	626	836	335	277	270
"BQ2027_MB0590c"	530	533	717	2092	1448	1870
"BQ2027_MB0591"	5377	3974	5563	1086	718	850
"BQ2027_MB0592"	1889	1393	2140	1031	758	866
"BQ2027_MB0593c"	1988	1642	2611	2144	1756	1643
"BQ2027_MB0594"	620	654	775	718	527	605
"BQ2027_MB0595c"	435	490	460	459	350	396
"BQ2027_MB0596"	1012	1090	1120	476	359	424
"BQ2027_MB0597"	504	446	529	258	178	248
"BQ2027_MB0598c"	453	394	422	320	269	242
"BQ2027_MB0599"	773	754	880	819	577	844
"BQ2027_MB0600c"	273	259	320	371	293	287
"BQ2027_MB0601"	2269	2488	2532	930	737	792
"BQ2027_MB0602"	921	850	1017	647	449	466
"BQ2027_MB0603"	499	522	651	460	336	350
"BQ2027_MB0604"	270	212	271	260	176	250
"BQ2027_MB0605"	395	311	385	382	296	377
"BQ2027_MB0606"	414	383	451	444	354	405
"BQ2027_MB0607"	394	366	398	460	343	469
"BQ2027_MB0608"	16	15	12	9	3	3
"BQ2027_MB0609"	214	202	221	145	104	153
"BQ2027_MB0610"	369	342	355	202	145	174
"BQ2027_MB0611c"	231	188	212	145	103	148
"BQ2027_MB0612c"	137	148	153	91	51	59
"BQ2027_MB0613c"	885	802	1016	1356	942	1155
"BQ2027_MB0614c"	460	431	431	751	569	787
"BQ2027_MB0615c"	127	124	126	161	150	151
"BQ2027_MB0616c"	64	71	110	64	63	37
"BQ2027_MB0617c"	49	25	47	18	10	12
"BQ2027_MB0618c"	64	42	66	34	15	17
"BQ2027_MB0619"	47	54	63	15	20	24
"BQ2027_MB0620"	520	407	609	323	234	241
"BQ2027_MB0621"	688	676	747	241	209	215
"BQ2027_MB0622"	1283	1153	1325	512	446	634
"BQ2027_MB0623"	250	235	248	59	37	50
"BQ2027_MB0624"	3533	3420	3465	3930	2966	4201
"BQ2027_MB0625"	987	980	1042	879	785	872
"BQ2027_MB0626"	367	329	436	275	205	228
"BQ2027_MB0626CA"	243	229	339	135	87	108
"BQ2027_MB0627c"	647	506	786	509	382	456
"BQ2027_MB0628c"	793	815	957	735	538	734
"BQ2027_MB0629"	443	353	598	247	131	146
"BQ2027_MB0630c"	1787	1491	2199	1487	1154	1118
"BQ2027_MB0631"	123	120	125	51	25	44
"BQ2027_MB0632"	365	392	462	315	248	261
"BQ2027_MB0633c"	140	134	175	100	78	103
"BQ2027_MB0633A"	325	303	359	318	260	318
"BQ2027_MB0634"	396	352	499	385	239	320
"BQ2027_MB0635"	408	394	610	373	259	293
"BQ2027_MB0636"	156	129	246	129	71	101
"BQ2027_MB0637"	778	777	938	165	96	95
"BQ2027_MB0638"	219	242	356	102	78	53
"BQ2027_MB0639"	1456	1659	1787	794	592	774
"BQ2027_MB0640"	846	738	947	379	273	294
"BQ2027_MB0641c"	856	787	1189	435	274	328
"BQ2027_MB0642"	642	530	737	284	220	260
"BQ2027_MB0643"	863	736	1005	385	274	357
"BQ2027_MB0644c"	1965	1773	2503	2534	1755	2224
"BQ2027_MB0645c"	856	665	1084	316	163	176
"BQ2027_MB0646c"	74	49	91	37	19	24
"BQ2027_MB0647c"	317	241	421	229	163	171
"BQ2027_MB0648c"	437	377	599	288	193	224
"BQ2027_MB0649c"	2258	2362	2459	1499	1247	1577
"BQ2027_MB0650c"	878	914	919	711	575	674
"BQ2027_MB0651c"	811	897	763	846	711	898
"BQ2027_MB0652"	560	637	639	638	541	541
"BQ2027_MB0653"	1394	1519	1326	640	576	699
"BQ2027_MB0654"	1447	1223	1308	745	720	841
"BQ2027_MB0655"	1051	1149	1098	656	535	682
"BQ2027_MB0656"	1462	1541	1475	1279	1059	1381
"BQ2027_MB0657"	4307	4215	4402	5351	4013	5065
"BQ2027_MB0658"	4383	3849	4628	5584	4654	5817
"BQ2027_MB0659"	3754	2957	3290	4589	3705	5325
"BQ2027_MB0660"	4277	4025	4306	7400	5374	7316
"BQ2027_MB0661c"	2638	2522	2450	1697	1344	1816
"BQ2027_MB0662c"	911	895	844	639	468	656
"BQ2027_MB0663c"	771	771	761	367	301	394
"BQ2027_MB0664c"	721	765	741	382	336	361
"BQ2027_MB0665c"	335	327	391	515	371	445
"BQ2027_MB0666c"	587	511	616	731	526	696
"BQ2027_MB0667"	426	377	518	311	201	259
"BQ2027_MB0668"	46	28	81	36	21	17
"BQ2027_MB0669"	123	86	152	82	44	43
"BQ2027_MB0670"	1717	1305	1711	1097	902	914
"BQ2027_MB0671"	1007	638	1090	546	510	480
"BQ2027_MB0672c"	1223	1237	1560	836	632	750
"BQ2027_MB0673"	6978	6763	9428	2468	2047	2108
"BQ2027_MB0674"	4449	4278	4761	5580	4537	5879
"BQ2027_MB0675c"	176	156	207	175	131	189
"BQ2027_MB0676c"	218	256	221	264	184	194
"BQ2027_MB0677c"	214	225	240	292	157	217
"BQ2027_MB0678c"	1258	1253	1241	1803	1361	1824
"BQ2027_MB0679c"	1089	1151	1078	1379	1090	1527
"BQ2027_MB0680c"	19	19	21	9	6	7
"BQ2027_MB0681c"	45	36	36	27	12	29
"BQ2027_MB0682"	1846	1918	2109	1494	1090	1503
"BQ2027_MB0683"	80	81	109	56	52	58
"BQ2027_MB0684"	39	42	36	32	24	35
"BQ2027_MB0685"	27	24	27	26	23	34
"BQ2027_MB0686"	23563	20129	25999	23301	18485	23305
"BQ2027_MB0687"	7445	5996	8184	15949	12509	16088
"BQ2027_MB0688c"	1292	1307	1258	1374	1048	1297
"BQ2027_MB0689"	3226	3302	3266	3819	2863	3682
"BQ2027_MB0690"	668	673	745	733	479	554
"BQ2027_MB0691"	1000	824	1279	1309	951	1005
"BQ2027_MB0692"	367	264	436	555	331	433
"BQ2027_MB0693"	133	110	161	208	143	153
"BQ2027_MB0694"	159	140	205	245	167	207
"BQ2027_MB0695c"	1953	1741	2174	2085	1499	1758
"BQ2027_MB0696c"	2184	2034	2105	1748	1281	1644
"BQ2027_MB0697"	992	996	1143	1780	1214	1412
"BQ2027_MB0698c"	601	637	666	671	517	598
"BQ2027_MB0699c"	629	543	729	488	400	423
"BQ2027_MB0700"	737	742	832	880	602	725
"BQ2027_MB0701"	4376	3747	4282	2785	2483	3184
"BQ2027_MB0702"	1952	1628	1901	1483	1323	1372
"BQ2027_MB0703"	6663	5334	6345	7632	6290	8056
"BQ2027_MB0704"	7657	6387	7612	10054	7945	10940
"BQ2027_MB0705"	934	925	846	1138	783	1165
"BQ2027_MB0706"	1088	1041	1278	473	428	488
"BQ2027_MB0707"	905	813	955	407	385	407
"BQ2027_MB0708c"	93	46	105	35	38	34
"BQ2027_MB0709c"	559	493	589	762	498	560
"BQ2027_MB0710c"	592	612	594	636	462	533
"BQ2027_MB0710A"	15	11	16	16	6	4
"BQ2027_MB0711"	901	953	1058	649	651	777
"BQ2027_MB0712"	1641	1433	1664	1942	1743	2013
"BQ2027_MB0713"	741	731	848	1688	1545	1744
"BQ2027_MB0714"	510	445	512	710	684	727
"BQ2027_MB0715"	321	316	370	486	386	485
"BQ2027_MB0716"	77	83	86	125	125	143
"BQ2027_MB0717"	175	146	168	169	115	114
"BQ2027_MB0718"	25	27	31	52	25	31
"BQ2027_MB0719"	20	23	24	28	13	15
"BQ2027_MB0720"	6643	6007	6032	5263	4652	5876
"BQ2027_MB0721"	3358	2765	3265	3624	2875	3554
"BQ2027_MB0722"	4497	3431	4703	6471	5190	6154
"BQ2027_MB0723"	1948	1539	1677	2369	2067	2704
"BQ2027_MB0724"	3472	3008	3342	5836	4882	6147
"BQ2027_MB0725"	960	742	1018	1765	1358	1762
"BQ2027_MB0726"	1048	718	1224	2037	1727	2086
"BQ2027_MB0727"	1920	1530	2116	3637	2818	3467
"BQ2027_MB0728"	971	765	877	1497	1159	1669
"BQ2027_MB0729"	738	505	610	1127	910	1409
"BQ2027_MB0730"	738	674	836	1492	1123	1421
"BQ2027_MB0731"	701	648	674	543	543	454
"BQ2027_MB0732"	537	428	573	335	321	374
"BQ2027_MB0733"	238	186	280	230	167	154
"BQ2027_MB0734"	325	328	349	212	164	182
"BQ2027_MB0735"	3668	3621	3546	1997	1850	2202
"BQ2027_MB0736"	2107	2010	2121	1582	1403	1681
"BQ2027_MB0737"	1371	1092	1314	1221	1060	1324
"BQ2027_MB0738"	1605	1262	1395	1667	1513	1906
"BQ2027_MB0739"	1976	1673	1812	2083	1840	2303
"BQ2027_MB0740"	1475	1055	1514	1701	1440	1814
"BQ2027_MB0741"	956	690	1077	1250	1071	1348
"BQ2027_MB0742"	1717	1324	2087	2653	2215	2740
"BQ2027_MB0743"	355	313	435	821	666	721
"BQ2027_MB0744"	1232	1129	1290	1865	1371	1599
"BQ2027_MB0745"	2929	2666	3186	5158	3290	3887
"BQ2027_MB0746c"	248	319	332	456	266	368
"BQ2027_MB0747c"	881	875	908	748	545	661
"BQ2027_MB0748c"	457	456	555	290	197	203
"BQ2027_MB0749c"	313	217	406	150	108	79
"BQ2027_MB0750"	316	260	363	189	135	131
"BQ2027_MB0751"	1254	1232	1368	1085	865	991
"BQ2027_MB0752c"	413	326	523	281	217	242
"BQ2027_MB0753"	1584	1438	1470	939	787	1118
"BQ2027_MB0754"	561	556	612	505	387	500
"BQ2027_MB0755"	557	594	633	583	482	557
"BQ2027_MB0756"	125	118	149	108	78	130
"BQ2027_MB0757"	130	137	193	94	70	74
"BQ2027_MB0758"	93	72	105	84	74	68
"BQ2027_MB0759"	556	525	699	645	492	509
"BQ2027_MB0760"	417	418	537	191	141	179
"BQ2027_MB0761"	497	467	582	238	176	213
"BQ2027_MB0762"	446	423	531	614	530	643
"BQ2027_MB0763"	89	55	109	80	75	69
"BQ2027_MB0764c"	255	264	264	160	110	153
"BQ2027_MB0765c"	400	444	441	209	197	165
"BQ2027_MB0766"	57	75	74	41	26	24
"BQ2027_MB0767"	257	182	379	486	370	354
"BQ2027_MB0768"	589	404	1056	1503	969	1081
"BQ2027_MB0769"	808	638	641	635	495	614
"BQ2027_MB0770"	366	308	376	250	202	274
"BQ2027_MB0771c"	184	193	167	160	127	147
"BQ2027_MB0772"	639	745	759	720	525	647
"BQ2027_MB0773c"	1082	1048	1409	1444	1009	1156
"BQ2027_MB0774c"	1869	1541	2456	2833	1942	2342
"BQ2027_MB0775c"	8258	7128	10882	6464	4620	5404
"BQ2027_MB0776"	995	807	1420	1806	1280	1532
"BQ2027_MB0777c"	947	860	1082	1827	1467	2019
"BQ2027_MB0778c"	315	334	451	261	234	206
"BQ2027_MB0779c"	1370	1436	1839	1362	1042	1166
"BQ2027_MB0780"	2895	2882	3203	29	5	16
"BQ2027_MB0781"	1837	1696	2063	547	369	485
"BQ2027_MB0782c"	541	514	544	444	361	489
"BQ2027_MB0783c"	254	221	239	186	150	144
"BQ2027_MB0784c"	1703	1430	1730	948	666	847
"BQ2027_MB0785c"	148	171	165	160	148	165
"BQ2027_MB0786c"	67	63	95	81	66	99
"BQ2027_MB0787c"	370	391	512	351	300	312
"BQ2027_MB0788c"	264	254	371	261	200	246
"BQ2027_MB0789c"	905	1021	1271	533	455	452
"BQ2027_MB0790c"	3099	3030	3978	2938	2235	2347
"BQ2027_MB0791"	5456	5582	6645	1994	2030	1539
"BQ2027_MB0792"	2027	2003	2031	3174	2458	3098
"BQ2027_MB0793"	501	513	494	942	682	942
"BQ2027_MB0794"	193	179	222	327	222	312
"BQ2027_MB0795"	335	372	386	364	308	348
"BQ2027_MB0796c"	410	395	426	248	158	271
"BQ2027_MB0797c"	501	437	579	283	264	245
"BQ2027_MB0798"	169	199	213	695	469	578
"BQ2027_MB0799c"	198	147	199	207	172	152
"BQ2027_MB0800"	954	963	896	1146	876	1132
"BQ2027_MB0801"	384	418	515	441	352	430
"BQ2027_MB0802c"	135	84	135	121	66	83
"BQ2027_MB0803"	279	288	352	184	135	176
"BQ2027_MB0804"	1178	1085	1057	1065	817	1170
"BQ2027_MB0805c"	421	427	449	384	288	394
"BQ2027_MB0806"	413	388	429	550	407	484
"BQ2027_MB0807"	55	80	102	87	47	65
"BQ2027_MB0808"	169	158	136	110	75	79
"BQ2027_MB0809c"	104	97	105	88	64	97
"BQ2027_MB0810"	704	776	961	921	648	596
"BQ2027_MB0811"	309	303	345	309	211	199
"BQ2027_MB0812"	767	704	726	645	376	471
"BQ2027_MB0813c"	433	496	549	477	328	362
"BQ2027_MB0814c"	432	353	515	333	294	276
"BQ2027_MB0815c"	1452	1200	1853	738	621	568
"BQ2027_MB0816c"	3998	4054	4880	1373	1196	1092
"BQ2027_MB0817"	230	279	329	103	81	128
"BQ2027_MB0818c"	258	218	316	108	61	92
"BQ2027_MB0819c"	647	634	661	378	332	330
"BQ2027_MB0820"	120	80	153	74	40	71
"BQ2027_MB0821c"	479	462	489	357	279	386
"BQ2027_MB0822c"	437	402	373	321	291	368
"BQ2027_MB0823"	448	320	437	373	319	368
"BQ2027_MB0824"	281	261	242	204	128	196
"BQ2027_MB0825c"	200	201	246	150	105	122
"BQ2027_MB0826"	902	773	1037	807	623	702
"BQ2027_MB0827"	77	70	65	74	46	55
"BQ2027_MB0828"	2580	2717	2686	1636	1416	1750
"BQ2027_MB0829c"	1237	1262	1356	803	608	856
"BQ2027_MB0830"	141	149	198	107	77	79
"BQ2027_MB0831"	2944	2965	3381	2720	2020	2365
"BQ2027_MB0832"	4629	4493	5518	3382	2427	3427
"BQ2027_MB0833c"	4020	4410	4627	4188	2928	3539
"BQ2027_MB0834c"	994	844	1020	1311	932	1078
"BQ2027_MB0835"	564	529	686	554	284	418
"BQ2027_MB0836c"	998	1027	1180	965	651	887
"BQ2027_MB0837c"	2548	2480	2728	2054	1507	1748
"BQ2027_MB0838c"	4093	3869	4169	2370	1751	2137
"BQ2027_MB0839c"	323	345	392	176	135	177
"BQ2027_MB0840c"	166	178	170	178	132	143
"BQ2027_MB0841"	1186	1239	1395	1545	1119	1360
"BQ2027_MB0842"	601	536	716	813	571	687
"BQ2027_MB0843"	385	403	396	505	370	503
"BQ2027_MB0844c"	465	537	507	588	447	544
"BQ2027_MB0845c"	1107	977	1309	1648	1366	1483
"BQ2027_MB0846c"	1480	1677	1805	3305	2789	3119
"BQ2027_MB0847c"	12390	11979	12930	14168	11630	15202
"BQ2027_MB0848c"	619	625	643	358	276	333
"BQ2027_MB0849"	484	492	632	276	205	228
"BQ2027_MB0850c"	880	834	813	306	329	211
"BQ2027_MB0851c"	16	21	25	18	12	11
"BQ2027_MB0852"	31	28	40	27	40	51
"BQ2027_MB0853"	388	414	487	525	439	512
"BQ2027_MB0854c"	2806	2697	2460	3456	2707	3940
"BQ2027_MB0855"	258	204	271	310	210	246
"BQ2027_MB0856"	564	384	928	770	510	491
"BQ2027_MB0857c"	2371	1969	3607	2570	1857	2040
"BQ2027_MB0858"	422	464	439	3329	2533	3882
"BQ2027_MB0859c"	270	253	361	377	267	336
"BQ2027_MB0860c"	1639	1614	2202	569	471	437
"BQ2027_MB0861"	186	179	176	154	126	138
"BQ2027_MB0862"	1199	1027	1473	362	328	308
"BQ2027_MB0863c"	363	409	507	142	101	118
"BQ2027_MB0864"	58	51	57	18	11	9
"BQ2027_MB0865"	175	161	199	55	39	37
"BQ2027_MB0866"	130	119	152	54	48	69
"BQ2027_MB0867c"	556	660	629	542	454	449
"BQ2027_MB0868"	332	357	362	207	155	239
"BQ2027_MB0869c"	562	573	627	210	172	196
"BQ2027_MB0870"	1588	1638	1646	603	654	549
"BQ2027_MB0871"	874	807	1058	418	340	268
"BQ2027_MB0872"	217	216	211	79	57	66
"BQ2027_MB0873"	51	54	56	32	23	24
"BQ2027_MB0874c"	144	162	183	83	66	62
"BQ2027_MB0875"	102	127	87	73	55	69
"BQ2027_MB0876c"	621	523	645	445	357	402
"BQ2027_MB0877"	559	538	553	197	179	223
"BQ2027_MB0878"	386	343	382	188	165	144
"BQ2027_MB0879"	387	400	387	2177	1730	2593
"BQ2027_MB0880"	337	380	375	737	591	747
"BQ2027_MB0881c"	284	256	365	324	239	278
"BQ2027_MB0882"	2539	2010	3121	2340	1858	2309
"BQ2027_MB0883"	3946	3193	4634	4486	2981	4236
"BQ2027_MB0884c"	609	645	666	738	562	757
"BQ2027_MB0885c"	342	354	357	508	413	522
"BQ2027_MB0886"	3214	3146	3040	3204	2509	2854
"BQ2027_MB0888"	1711	1730	1866	1555	1175	1566
"BQ2027_MB0889"	529	480	594	471	451	538
"BQ2027_MB0890"	334	256	348	328	274	325
"BQ2027_MB0891c"	3058	2320	3438	2184	1746	1810
"BQ2027_MB0892c"	194	195	186	316	229	266
"BQ2027_MB0893c"	445	396	595	819	572	719
"BQ2027_MB0894c"	480	454	568	713	539	665
"BQ2027_MB0895"	1236	1072	1268	865	689	689
"BQ2027_MB0896c"	3199	2236	4703	15009	10294	11180
"BQ2027_MB0897"	2982	2773	2949	5356	3952	5453
"BQ2027_MB0898c"	495	501	559	950	698	748
"BQ2027_MB0899c"	283	315	365	580	453	513
"BQ2027_MB0900c"	1608	1545	1876	2809	2158	2384
"BQ2027_MB0901"	1841	1692	1987	1690	1299	1589
"BQ2027_MB0902c"	413	400	533	513	418	547
"BQ2027_MB0903c"	704	641	704	653	525	597
"BQ2027_MB0904"	123	110	125	129	87	85
"BQ2027_MB0905"	228	205	285	134	143	139
"BQ2027_MB0906"	169	172	205	176	127	170
"BQ2027_MB0907c"	1018	805	1130	862	692	821
"BQ2027_MB0908c"	841	728	792	855	629	714
"BQ2027_MB0909"	2949	2659	3153	878	674	762
"BQ2027_MB0910"	568	491	681	230	137	185
"BQ2027_MB0911c"	117	69	107	95	66	60
"BQ2027_MB0912"	398	400	471	379	344	424
"BQ2027_MB0913c"	747	794	851	870	720	880
"BQ2027_MB0914c"	653	659	765	403	318	369
"BQ2027_MB0915c"	224	269	258	219	155	195
"BQ2027_MB0916"	395	410	375	234	162	210
"BQ2027_MB0917c"	93	115	89	125	104	124
"BQ2027_MB0918"	112	120	102	107	101	115
"BQ2027_MB0919"	110	87	115	72	71	61
"BQ2027_MB0920"	4645	4612	4586	4861	3908	5497
"BQ2027_MB0921c"	907	841	1103	901	664	694
"BQ2027_MB0922c"	1448	1755	1592	3006	2199	2916
"BQ2027_MB0923"	529	625	516	332	273	304
"BQ2027_MB0924"	53	54	59	38	43	31
"BQ2027_MB0925"	324	273	398	288	252	274
"BQ2027_MB0926c"	1049	1028	1198	1591	1302	1560
"BQ2027_MB0927c"	906	973	1035	1325	1010	1159
"BQ2027_MB0928c"	406	393	606	330	253	260
"BQ2027_MB0929"	1603	1715	1602	1439	1038	1427
"BQ2027_MB0930"	913	728	959	1003	846	920
"BQ2027_MB0931"	345	351	358	389	322	389
"BQ2027_MB0932"	434	427	450	642	527	716
"BQ2027_MB0933"	326	400	319	320	258	307
"BQ2027_MB0934"	355	445	389	378	353	413
"BQ2027_MB0935"	124	148	181	184	123	144
"BQ2027_MB0936"	150	160	175	183	127	210
"BQ2027_MB0937c"	439	432	406	634	542	642
"BQ2027_MB0938c"	614	487	565	812	688	727
"BQ2027_MB0939c"	146	99	207	698	465	700
"BQ2027_MB0940c"	123	108	113	649	433	558
"BQ2027_MB0941"	338	317	403	475	372	448
"BQ2027_MB0942"	314	390	374	141	118	140
"BQ2027_MB0943"	371	485	439	396	334	467
"BQ2027_MB0944c"	595	543	621	297	259	281
"BQ2027_MB0945"	375	345	409	124	88	64
"BQ2027_MB0946"	4281	3507	4754	3555	2565	2905
"BQ2027_MB0947c"	780	710	934	734	529	661
"BQ2027_MB0948c"	1305	1269	1469	869	701	841
"BQ2027_MB0949c"	403	429	420	287	231	259
"BQ2027_MB0950c"	311	280	367	234	217	199
"BQ2027_MB0951"	1044	974	1102	832	638	790
"BQ2027_MB0952"	302	307	364	310	245	317
"BQ2027_MB0953"	360	417	416	506	462	557
"BQ2027_MB0954c"	1261	1097	1384	1860	1443	1773
"BQ2027_MB0955c"	2185	2162	2199	2319	1713	2112
"BQ2027_MB0956c"	7499	7694	7761	6117	4744	6304
"BQ2027_MB0957"	83	95	78	82	51	66
"BQ2027_MB0958"	79	63	94	64	65	81
"BQ2027_MB0959"	352	286	436	283	244	311
"BQ2027_MB0960"	315	226	342	278	228	288
"BQ2027_MB0961"	107	99	85	122	106	114
"BQ2027_MB0962c"	223	232	236	450	381	504
"BQ2027_MB0963"	540	545	506	1317	1119	1393
"BQ2027_MB0964"	712	628	864	1111	852	1023
"BQ2027_MB0965c"	1601	1809	1981	1556	1288	1751
"BQ2027_MB0966c"	736	802	774	851	598	802
"BQ2027_MB0967"	576	637	573	913	704	837
"BQ2027_MB0968c"	54	45	82	46	34	28
"BQ2027_MB0969"	28	41	29	27	20	21
"BQ2027_MB0970"	318	261	320	236	200	271
"BQ2027_MB0971c"	582	562	752	575	484	550
"BQ2027_MB0972c"	42	47	50	76	72	58
"BQ2027_MB0973c"	342	353	338	505	383	402
"BQ2027_MB0974"	920	931	904	673	622	788
"BQ2027_MB0975c"	1640	1526	1654	648	482	623
"BQ2027_MB0976"	4061	3617	3755	2327	2024	2690
"BQ2027_MB0977"	2083	1916	1958	2020	1471	2028
"BQ2027_MB0978c"	141	129	173	72	75	92
"BQ2027_MB0979"	1893	1498	2173	2062	1563	1735
"BQ2027_MB0980"	645	719	790	804	586	708
"BQ2027_MB0981"	399	394	430	202	171	188
"BQ2027_MB0982"	975	938	996	729	503	678
"BQ2027_MB0983"	749	601	755	813	582	699
"BQ2027_MB0984"	815	781	984	854	652	831
"BQ2027_MB0984A"	177	177	207	244	164	249
"BQ2027_MB0985"	249	283	261	322	264	329
"BQ2027_MB0986"	149	144	163	145	109	138
"BQ2027_MB0987c"	137	116	140	102	87	86
"BQ2027_MB0988c"	97	111	109	97	45	65
"BQ2027_MB0989c"	106	102	153	163	125	163
"BQ2027_MB0990c"	319	308	352	530	422	572
"BQ2027_MB0991c"	574	650	582	922	673	808
"BQ2027_MB0992"	2251	1875	2249	1189	947	1184
"BQ2027_MB0993"	1943	1904	2101	1025	815	868
"BQ2027_MB0994"	3723	2850	4555	1332	832	1020
"BQ2027_MB0995"	339	366	419	256	185	262
"BQ2027_MB0996c"	262	229	363	196	174	162
"BQ2027_MB0997c"	669	581	713	641	490	659
"BQ2027_MB0998c"	664	544	763	537	389	530
"BQ2027_MB0999c"	363	367	466	379	251	351
"BQ2027_MB1000c"	509	461	638	504	372	545
"BQ2027_MB1001c"	858	660	1111	838	541	691
"BQ2027_MB1002"	543	478	728	581	402	413
"BQ2027_MB1003c"	86	70	107	55	29	37
"BQ2027_MB1004c"	38	32	39	19	12	18
"BQ2027_MB1005"	1105	977	1104	778	556	737
"BQ2027_MB1006c"	1097	937	1208	854	657	733
"BQ2027_MB1007"	682	727	650	1351	990	1179
"BQ2027_MB1008"	1446	1531	1735	5017	3760	4442
